date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:31	85/85	---M--	200	added ('OK')	text/plain	etag:%2255-639034ba-6b5bdc94c7af1569;;;%22	https://jamiat.org.za/robots.txt		(from )
15:54:33	195902/195902	---M-Z	200	added ('OK')	text/html	etag:%2221501-1714480052;gz%22	https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/index.html	(from )
15:54:33	21146/21146	---M--	200	added ('OK')	image/png	etag:%22529a-63905154-d68357cf135781eb;;;%22	https://jamiat.org.za/wp-content/themes/sahifa/images/patterns/body-bg7.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/themes/sahifa/images/patterns/body-bg7.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:33	2871/2871	---M--	200	added ('OK')	image/png	etag:%22b37-63905154-ad20d3fc3b991f8e;;;%22	https://jamiat.org.za/wp-content/themes/sahifa/images/home@2x.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/themes/sahifa/images/home@2x.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:33	1022/1022	---M--	200	added ('OK')	image/png	etag:%223fe-63905154-215e35205f8bea03;;;%22	https://jamiat.org.za/wp-content/themes/sahifa/images/home.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/themes/sahifa/images/home.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:34	93/93	---M--	200	added ('OK')	image/png	etag:%225d-63905154-9e2a811588d11ac3;;;%22	https://jamiat.org.za/wp-content/themes/sahifa/images/stripe.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/themes/sahifa/images/stripe.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:34	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202024%2007:54:33%20GMT	http://jamiat.org.za/wp-content/uploads/2015/08/header-bk.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/uploads/2015/08/header-bk.4.delayed	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:34	83/83	---M--	200	added ('OK')	image/png	etag:%2253-643d6f37-824a732ca89f5807;;;%22	https://jamiat.org.za/wp-content/uploads/2015/08/header-bk.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/uploads/2015/08/header-bk.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:35	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20May%202024%2007:54:34%20GMT	http://jamiat.org.za/wp-content/images/backround.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/images/backround.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
15:54:35	8546/8546	---M--	200	added ('OK')	image/png	etag:%222162-63904c08-27dc27ac7edca8e1;;;%22	https://jamiat.org.za/wp-content/images/backround.png	C:/CollectionofIntersexinIslam/What%20is%20the%20difference%20between%20intersex,%20transgender%20&%20is%20there%20any%20sin%20on%20them_/jamiat.org.za/wp-content/images/backround.png	(from https://jamiat.org.za/what-is-the-difference-between-intersex-transgender-is-there-any-sin-on-them/)
